id,album_name
1,'Call of the Mastodon'
2,'Fear Itself'
4,'Las Numero 1 De La Sonora Santanera'
5,'Friend Or Foe'
6,'Muertos Vivos'
7,'Ordinary Day'
8,'Da Ghetto Psychic'
9,'Gin & Phonic'
10,'Pink World'
11,'Superinstrumental'
12,'I Need You'
13,'The Way Home'
14,'Placer & Castigo'
15,'Arrivederci'
16,'Dancing On The Ceiling'
17,'Outskirts'
18,'Cross Currents'
19,'Panjtan Ka Ghulam'
20,'Gold'
21,'Whatever Happened To Boredom?'
22,'1942-1952 Jimmy Wakely'
23,'All The Good Times'
24,'Un cafe_ setanta matins'
25,'Miss Machine'
26,'Sue Thompson - Her Very Best'
27,'Live'
28,'Strictly Confidential'
29,'The Real Twang Thang'
30,"""Willie Bobo's Finest Hour"""
31,'Shake A Hand'
32,'Occasional Rain'
33,'The Emperor Falls'
34,'Best of The Shangri-Las'
35,'20 Of Her Best'
36,'Who Is Mike Jones?'
37,'Tibiri Tabara'
38,'Piouhgd + Widowermaker!'
39,'Profities'
40,'Cracks'
41,'Pieces Of Time'
42,'The Palest Grey'
43,'A Match & Some Gasoline'
44,"""Jump Back - The Best Of The Rolling Stones_ '71-'93"""
45,'Lo Mejor con La Orq. Broadway'
46,'Grown Man'
47,'A Bothered Mind'
48,'Greatest Hits'
49,'Bluesman'
51,'Ec8or'
52,'Too Much Too Soon'
53,'Bossa Nova Stories'
54,'Love_ Peace & Nappiness'
55,'Germicide'
56,'Mafu\xc3\xa1'
57,'The Road To Hell Part 2'
58,'Vanguard Visionaries'
59,'Be Yourself Tonight'
60,'Hometown 2001'
61,'Eat / Kiss: Music For The Films By Andy Warhol'
62,'The Ultimate Most Relaxing New Age Piano in the Universe'
63,'Classic Gold: Best of All'
64,'The Berzerker'
65,'Holy Roller Novocaine'
66,'Jeux de dames_ vol. 1 (r\xc3\xa9alisation Ronald Rubinel)'
69,'Murskapunkkia'
70,'Canci\xc3\xb3n Animal'
71,'The Man from Snowy River'
72,'One World One People'
73,'Tales Of Wonder'
74,'Waterbed Hev'
75,'The Best Of Both Worlds'
76,'Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness'
78,'Your Funeral... My Trial (2009 Digital Remaster)'
79,'Oasis of Love'
80,"""60's Triple set"""
82,'Un Titre de Toune'
83,'Live Inferno'
84,'Vendredi 13 - 1981'
85,'Unconditional Love'
87,'Country Lovers. Vol. 3'
88,'Affirmation'
89,'Lullabies To Paralyze'
90,"""It's War Again"""
91,'The Singles'
92,'What You Thought You Heard'
93,"""Daddy Don't Disco"""
94,'15 Exitos Vol. 2 Flor Silvestre'
95,'Le top du p\xc3\xa8re N\xc3\xb6el'
96,'Malpractice'
97,'20 Suosikkia / Rilluttele y\xc3\xb6'
98,'The Fabulous Eddie Cantor'
100,'The Incredible Kai Winding Trombones'
101,'Staying on the Watch'
102,'Openbare Weg'
103,'Tip World Singles 2000'
104,'Praise Him...Live!'
105,'Spontanous Combustion'
106,'From All Sides'
107,'Maurice Chevalier  The Essential Collection Vol 1'
108,'Dave Pearce Best of the Dance Years 1988 - 1992'
109,'The Equinox'
110,'Timeless'
112,'13th And Pine'
113,'Call Tyrone'
115,'Fifteen Poems By Dylan Thomas'
