id,instrument
1,Accordion
2,Acoustic bass guitar
3,Acoustic guitar
4,Acoustic bass guitar
5,Aeolian harp
6,Agung a Tamlang) (Philippine slit drum)
7,Agung/ agong (Philippine gong)
8,Ahoko (Ivory Coast rattle)
9,Ajaeng
10,Alboka (Spanish double hornpipe)
11,Alphorn
12,Alpine bell
13,Alto clarinet
14,Alto flute
15,Alto horn
16,Alto sarrusophone
17,Alto saxophone
18,Angklung (tuned bamboo slide rattle)
19,Appalachian dulcimer
20,Archlute
21,Arghul (Arabic double pipe)
22,Arpa anottolini (Italian hooked harp)
23,Arpeggione (Italian six-string)
24,Array Mbira (African thumb piano)
25,Aru-ding (Philippine Jew’s harp)
26,Aulochrome (double soprano saxophone)
27,Babendil (Philippine gong)
28,Baglama/ saz (Turkish strings)
29,Balafon (xylophone from Ghana)
30,Balalaika (Central Asian 2 or 3 stringed guitar)
31,"Bandola (plucked lute from Cuba, Chile and Peru)"
32,Bandoneón (Argentinian concertina)
33,Bandurria (Spanish/ Latin American plucked lute)
34,Banhu (Chinese bowed stringed instrument)
35,Banjo
36,Barbat (Iranian plucked lute)
37,Baritone horn
38,Baritone sarrusophone
39,Baritone saxophone
40,Baroque Wooden Flute
41,Baryton (German Euphonium)
42,Bass Clarinet
43,Bass Drum
44,Bass flute
45,Bass guitar
46,Bass sarrusophone
47,Bass saxophone
48,Bass/ baritone oboe
49,Basse a Pistons (French Euphonium)
50,Basse Cor
51,Basset clarinet
52,Basset horn
53,Bassoon
54,Bawu (Chinese wind instrument)
55,Bayan (Russian Accordian)
56,Bazooka
57,Bell
58,Berimbao (Brazilian musical bow)
59,Bianqing (Chinese stone chimes)
60,Bianzhong (Chinese bells)
61,Bifora (Sicillian oboe)
62,Biniou (French bagpipe)
63,Biwa (Japanese short-necked lute)
64,Bock (German bagpipes)
65,Bodega (French bagpipe)
66,Bodhrán (Irish drum)
67,Boha (French bagpipe)
68,Bombarde
69,Bombardino (Spanish Euphonium)
70,Bongo drum
71,Border pipe/ lowland bagpipe
72,Bordonua (Puerto Rican bass guitar)
73,Bouzouki (Greek lute)
74,Brian Boru bagpipes
75,Bullroarer
76,Button accordian
77,Cabrette (French bagpipe)
78,Calliope (steam organ)
79,Carillon (Dutch harmonising bells)
80,Carillon (Dutch harmonising bells)
81,Castanets
82,Cavaco (Spanish guitar)
83,Cavaquinho (Portuguese guitar)
84,Caxixi (Brazilian idiophone)
